total_sqft,price
2795,235.0
1125,50.0
1020,30.6
1200,50.0
1735,135.0
2050,145.0
3750,760.0
1350,48.0
1063,32.0
1904,150.0
4200,420.0
2000,175.0
1145 - 1340,43.49
1425,75.0
1500,64.5
1060,60.0
1470,70.0
1300,99.0
450,11.0
1152,64.5
1350,56.0
1550,65.0
1500,100.0
600,85.0
400,14.0
705,67.0
770,36.0
1242,51.0
1700,155.0
2144,145.0
1704,110.0
1070,52.0
1846,300.0
1340,55.7
1025,46.0
1015 - 1540,56.8
1200,52.0
2250,110.0
1550,80.0
1200,325.0
1800,250.0
1200,60.0
1327,98.0
1186,58.0
1783,115.0
1400,56.0
980,48.0
1285,82.0
912,70.0
1225,47.6
1075,53.0
1260,54.0
1282,48.7
1909,88.0
1359,87.0
1207,43.5
1736,190.0
2850,428.0
1595,65.0
1798,89.0
1475,78.29
1580,100.0
1295,65.0
3600,141.0
589,27.0
1415,78.0
1787,98.29
1787,125.0
1475,90.0
2000,75.5
984,44.28
1520 - 1740,74.82
2405,260.0
1080,72.0
1500,115.0
1900,119.0
805,22.14
1153,56.4
1148,60.0
1110,55.0
1100,42.0
1290,110.0
1500,65.0
1080,39.0
1933,129.0
3500,150.0
1060,60.0
645,16.45
2600,180.0
645,16.45
1644,84.0
1285,72.5
1200,90.0
910,40.0
1577,70.0
4050,280.0
2420,185.0
800,20.0
1060,55.0
1270,93.0
900,22.5
1280,69.0
1200,95.0
1025,36.0
1108,63.0
1200,170.0
3045,170.0
2900,300.0
1500,75.5
1295,43.9
1162,59.9
1035,49.2
1600,52.8
1464,46.0
1866,61.58
700,26.0
1804,120.0
913,32.0
1868,131.0
883,45.0
900,110.0
1664,73.95
2026,132.0
1210,80.9
4111,250.0
1762,91.45
1252,55.0
861,34.5
1420,100.0
1450,250.0
1490,78.8
1075,46.0
1425,94.0
1200,40.0
1280,56.0
1084,50.0
1015,25.88
1017,51.25
1027,44.0
1069,45.0
1349,98.2
1005,50.0
1417,75.0
1475,98.0
950,47.0
2000,120.0
880,140.0
1863,104.0
1010,29.5
1425,70.0
1450,100.0
1847,105.0
1100,45.0
525,26.0
1665,95.0
1664,65.0
1850,150.0
1438,100.0
1560,115.0
1350,55.55
1550,67.0
1140,46.5
1200,180.0
850,27.0
1280,75.0
1170,52.0
1113,51.0
1385,83.09
1128,65.0
1200,128.0
1200,165.0
2390,415.0
2400,400.0
1464,56.0
1200,55.0
1200,52.0
1150,55.0
1645,95.0
1000,67.0
2650,198.0
1192,74.0
2135,215.0
1173,58.0
1020,45.0
3122,230.0
1600,64.0
1200,79.0
1230,48.0
1250,40.0
1325,76.0
1850,150.0
525,21.53
1200,65.0
1350,140.0
1260,49.36
1800,150.0
11,74.0
1100,43.25
1508,77.0
1592,75.0
1388,57.0
630,28.35
2000,365.0
1762,125.0
950,50.0
3252,335.0
1116,50.0
1308,89.04
1200,90.0
1500,230.0
500,18.5
1075,52.0
530,11.66
1205,66.0
1075,60.0
930,39.0
1380,60.0
2483,212.0
1166,55.0
1050,65.0
2023.71,275.0
1200,46.8
1600,108.0
1935,110.0
451,29.9
1800,95.0
1400,77.0
1801,115.0
1451,90.0
1200,36.0
1160,44.0
1000,25.0
950,40.0
1629,79.0
1580,134.0
1826,121.0
1245,94.0
1145,45.79
825,33.0
1693,108.0
1113.27,53.0
1460,58.0
1050,32.0
1260,55.0
700,120.0
1656,120.0
1208,45.0
1910,161.0
3252,230.0
1200,65.0
1200,175.0
1175,82.0
1000,165.0
1200,125.0
2390,410.0
12000,2200.0
550,62.0
34.46Sq. Meter,18.5
1185,38.0
750,38.0
1200,250.0
1550,64.5
1760,88.0
1125,62.0
1350,150.0
1000,55.0
1090,31.48
1200,60.0
1991,103.0
1060,26.5
1105,75.0
985,67.0
1533,85.0
1590,79.0
1120,55.0
1069,55.0
1933,140.0
1194,69.0
1150,69.0
1240,47.12
1419,48.1
1200,250.0
2150,240.0
1450,55.0
1630,68.29
708,40.0
1000,110.0
11890,700.0
1250,76.0
1400,95.0
1670,57.0
1750,100.0
1404,71.0
1715,95.0
630,34.65
1752.12,135.0
1650,78.0
1295,55.47
1800,252.0
1346,74.03
1200,200.0
1150,55.0
3309,325.0
1190,30.35
1620,98.0
950,46.96
5000,360.0
2450,120.0
1220,35.23
850,30.0
1020,63.0
1100,50.0
1150,126.0
1760,130.0
1800,110.0
1070,54.0
1500,220.0
1440,95.0
900,40.0
1200,230.0
1130,42.16
1320,165.0
1270,98.0
1200,62.0
4800,235.0
1200,74.0
929,50.17
1150,260.0
1125,180.0
500,65.0
1200,190.0
1464,56.0
3600,400.0
2000,99.0
1208,49.0
1130,60.0
1753,120.0
4500,337.0
600,58.0
1196,94.42
1150,52.5
1128,63.0
1000,53.0
1035,45.0
950,32.0
1075,36.0
1040,48.5
720,45.0
1511,95.0
1300,58.0
1545,68.75
375,26.0
1062,38.0
1115,40.0
1000,35.0
883,45.0
1195,70.0
1200,165.0
700,41.0
1246,67.0
660,90.0
8500,145.0
1600,80.0
2805,154.0
1584,65.0
3000,275.0
1175,48.0
1595,115.0
1353,110.0
1599,125.0
1150,70.0
5230,465.0
1155,42.74
1200,85.0
1000,25.0
3000,120.0
1867,160.0
1251,47.0
1028,45.5
1222,45.0
1170,66.0
2400,245.0
1385,48.48
1372,68.0
1282,49.0
5000,210.0
3000,528.0
1135,39.73
1768,101.0
1325,90.0
1599,99.0
1500,61.95
2610,499.0
1286,63.0
2845,140.0
1600,50.0
1195 - 1440,63.77
3450,260.0
1102,53.67
1350,54.0
1200,42.0
1300,145.0
1800,80.0
950,40.0
525,27.25
656,25.0
1780,175.0
1056,80.0
595,33.32
1080,50.0
2225,160.0
1126,28.15
1490,84.0
2000,300.0
1550,100.0
1600,86.0
1160,55.0
4144,315.0
2100,125.0
1404,69.3
2230,225.0
1544,120.0
1305,58.7
1230,80.0
1200,65.0
1460,73.0
1200 - 2400,34.185
967,45.0
540,36.0
715,46.0
2500,313.0
1578,180.0
1020,48.95
1020,40.0
1253,102.0
1180,42.0
961,38.0
1419,75.0
1709,150.0
1600,115.0
416,18.5
1100,98.0
1430,65.0
1260,45.0
1630,85.0
1249,44.71
1450,85.0
2791,223.0
600,90.0
834,60.0
1125,70.0
2060,140.0
12000,2200.0
891,25.0
1133,49.07
1075,37.0
3000,260.0
2440,425.0
1200,55.0
1075,45.8
1140,40.0
940,150.0
2160,250.0
1090,42.0
1500,70.0
4104,360.0
1790,100.0
1920,134.0
1374,95.0
1445,95.0
711,36.0
1500,95.0
1720,100.0
1400,60.0
1030,49.0
1200,85.0
1375,70.0
1050,56.0
2250,160.0
1000,50.0
469,25.0
3800,250.0
883,29.0
1820,86.0
1440,65.0
3600,160.0
2500,325.0
1225,48.0
4000,660.0
875,52.8
750,40.0
1180,80.0
1194,47.0
1500,62.0
1160,52.2
4125Perch,265.0
2378,262.0
1128,60.0
1500,150.0
1220,35.23
1210,58.0
1100,58.0
1200,46.0
3385,260.0
1641,66.0
1200,45.0
1260,67.39
1720,78.0
1120 - 1145,48.13
1210,45.98
2200,200.0
1075,45.0
1702,130.0
1630,200.0
1141,38.55
2072,108.0
4400 - 6640,375.0
1200,70.0
1350,77.0
3090 - 5002,445.0
1180,78.34
35000,130.0
1355,115.0
600,50.0
1200,150.0
1640,120.0
1200,100.0
1190,57.0
2400,375.0
1019,49.85
1875,165.0
1250,40.0
1200,140.0
1140,56.0
1683,109.0
1515,83.3
2118,111.0
1380,58.0
1083,61.75
600,55.0
2300,120.0
1240,60.0
1750,120.0
1230,43.48
1500,139.0
985,40.39
1500,87.0
1125,32.49
950,44.0
4400 - 6800,548.5
1580,76.0
1092,98.5
1090,28.34
2264,159.0
1033,25.53
810,24.5
1045,45.0
1337,82.0
1200,32.0
1580,160.0
1500,54.0
1640,91.0
1570,62.0
1470,82.0
1160,40.61
1050,71.0
1855,225.0
1460,90.0
1823,100.0
1094,42.0
1153,57.0
1325,57.0
1200,85.0
1590,125.0
1210,160.0
1200,220.0
1202,48.0
1202,53.0
1200,62.5
1688,118.0
1020,52.0
1185,47.0
1235,52.04
3205,500.0
1077,37.64
1415,66.0
2330,162.0
805,35.0
425,20.03
1155,59.95
5270,1250.0
656,22.0
1100,48.0
1150,52.0
600,60.0
1468,140.0
4300,550.0
2280,126.0
1341,97.0
1279,77.0
2225,98.88
1185,43.51
1750,85.0
1152,53.5
1000,160.0
1300,36.0
2760,155.0
1070,39.0
1101,45.0
775,55.0
667,36.85
1070,55.0
1875,110.0
735,57.99
4360,90.0
1750,130.0
1215,67.0
600,190.0
820,30.0
1160 - 1195,59.935
1779,89.61
1105,58.0
1000Sq. Meter,93.0
1650,60.0
1694,150.0
2376,203.0
1975,150.0
674,33.0
1185,41.0
445,28.0
900,76.0
1475,75.0
1618,82.5
1120,65.0
2181,152.0
1200,90.0
600,65.0
1556,59.13
1179,66.02
1296,83.0
1275,52.0
1875,300.0
1400,77.0
1222,63.0
940,41.0
1185,42.6
1779,112.0
1615,59.76
4000 - 5249,453.0
1056,61.0
1100,46.0
920,40.0
1602,75.0
1176,62.0
675,59.0
1352,135.0
1717,99.0
10961,80.0
2119,111.0
1246,67.3
1141,42.79
1157,84.0
1025,27.68
650,33.0
1349,98.0
1566,83.3
2830,195.0
1320,38.13
1780,84.83
1091,34.9
3670,300.0
918,50.49
1950,130.0
1695,90.0
1705,95.0
1375,75.0
525,30.0
1447,83.0
1114,39.0
1450,100.0
460,15.0
1022,40.0
1000,45.0
1128,68.75
1180,57.0
1000,69.0
1200,150.0
3761,660.0
1339,75.0
1400,55.0
1040,39.52
1198,58.0
1200,95.0
1691,113.0
1075,36.0
1630,194.0
1240,43.5
1115 - 1130,58.935
1665,86.58
2489,94.0
1142,70.0
1976,184.0
5500,600.0
1853,82.0
600,72.0
1567,92.0
1090,27.24
1200,125.0
2400,640.0
1175,51.47
1200,52.0
995,41.0
884,41.1
900,80.0
1170,57.0
1225,46.55
1342,73.3
1345,67.0
1320,65.0
1100Sq. Yards,45.0
1140,49.39
1300,50.0
1652,85.0
2072,142.0
1740,95.0
1360,71.0
1145,60.0
1540,40.0
1278,95.0
630,40.0
1100,58.0
1200,95.0
2500,115.0
520 - 645,15.135
1015,25.88
3300,240.0
4500,415.0
1356,66.0
823,28.0
1200,66.0
1050,37.0
1180,69.0
1116,51.91
1070,42.79
1385,80.0
1000,70.0
1897,130.0
1005,55.78
1575,125.0
975,65.0
1904,120.0
930,30.0
525,26.0
686,17.0
2400,150.0
1410,233.0
2238,140.0
1174,69.0
3800,239.0
2225,125.0
1250,200.0
918,52.0
1250,52.0
1800,110.0
1170,53.0
1300,200.0
793,45.0
1710,107.0
1082,57.5
1001,33.03
1500,180.0
1590,54.0
2400,80.0
1554,55.0
1000 - 1285,43.415
4239,423.0
884,58.0
1045,98.89
1019,49.86
1935,130.0
1135,39.73
1680,150.0
2470,247.0
2825,250.0
2480,330.0
1260,290.0
1800,187.0
1799,90.0
3606 - 5091,304.0
400,11.0
1047,82.0
1282,87.0
1020,45.9
1080,155.0
1495,79.5
3260,240.0
1611,64.44
3500,425.0
1500,95.0
1500,95.0
3206,270.0
1540,50.0
1639,80.0
700,72.0
1303,55.79
1005,110.0
650 - 665,18.41
1305,33.28
600,95.0
1300,115.0
1440,68.0
901,35.14
1725,200.0
900,42.0
1060,55.0
1020,48.45
1535,65.99
530,20.0
1464,56.0
1350,80.0
1115,50.0
1175,47.0
1113,62.0
1200,225.0
1640,240.0
650,42.0
1325,71.55
950,31.0
1396,86.51
1050,52.07
1825,100.0
1190,49.98
1220,56.5
1565,75.0
1891,109.0
900,27.0
1161,55.15
633 - 666,17.535
2400,125.0
315,90.0
665,36.85
1175,73.5
1425,80.0
1200,20.0
1200,56.12
1255,67.0
2112.95,145.0
600,22.0
1810,100.0
1200,93.0
1033,49.0
1548,89.5
1611,66.0
1400,40.43
1485,67.0
2400,82.0
1025,44.5
600,65.0
1225,53.0
1256,62.8
2268,163.0
1100,53.0
1141,62.0
400,12.0
1400,60.0
4100,140.0
5.31Acres,110.0
15,30.0
1175,48.27
1100,56.0
1843,95.84
1200,240.0
1460,80.5
1530,74.5
1467,55.0
950,40.0
1246,64.5
711,38.0
1194,46.0
1358,43.4
1500,130.0
1420,75.0
1250,68.75
1280,58.0
1209,50.0
4200,225.0
1215,205.0
1315,54.8
1800,90.0
1600,125.0
1600,65.0
3968,900.0
1563,52.0
1560,72.0
2169,115.0
900,170.0
1050,55.5
3235,235.0
1200,66.0
1140,46.0
1500,170.0
1560,75.0
1100,70.0
1260,40.32
1036,50.0
1662,85.1
1464,105.0
1234,80.0
1403,55.0
915,54.9
3000,451.0
1150,42.9
3900,410.0
850,90.0
929,46.0
2400,450.0
1350,75.0
1135,39.73
1405,70.0
1200,45.84
2805,154.0
1161,64.08
1290,74.0
2557,141.0
1480,90.0
3300,500.0
1350,54.54
1580,65.0
1470,88.64
500,14.0
1346,61.92
1600,90.0
720,120.0
30Acres,29.5
1200,135.0
1200,35.0
1340,48.33
6136,560.0
918,48.0
1500,115.0
1315,85.0
2400,775.0
1390,62.55
1330,56.0
3100,265.0
1824,125.0
1420,96.0
750,56.25
1260,60.0
1561,95.0
812,165.0
1060,42.0
1120,145.0
1225,67.38
2144,135.0
1200,140.0
880,29.0
1639,110.0
1240,62.0
1500,69.0
1243,46.0
1575,78.0
1027,44.0
1082,56.0
1637,73.0
1665,86.58
1265,56.93
1691,102.0
1100,38.0
24,150.0
1500,62.0
3205,380.0
1666,150.0
1115,50.0
1070,45.0
1128,105.0
1162,57.0
1339,55.0
1192,75.0
1920,115.0
1255,52.32
1357,115.0
1600,75.0
1225,55.11
2400,200.0
1570,80.0
1093,70.0
1865,145.0
1200,165.0
1039,80.0
1246,64.5
1985,75.0
1590,49.0
4000,675.0
775,38.0
1000,50.0
1800,175.0
1035,41.0
1520,75.0
1360,95.0
6000,400.0
1117,56.0
1200,120.0
1330,92.5
1937,160.0
1128,65.49
1053,45.0
1198,77.0
1152,56.0
1200,125.0
1625,75.0
1397,105.0
1523,170.0
883,45.0
700,38.0
1170,62.5
1200,42.0
2400,170.0
1480,65.0
1897,120.0
996,67.0
1875,110.0
1500,98.0
3095,350.0
1390,175.0
1445 - 1455,65.255
697,45.0
710,27.0
910,30.5
1025,48.0
884 - 1116,46.5
1200,244.0
1453,46.48
3335,300.0
850 - 1093,36.435
1281,74.0
565,35.0
1024,42.0
1620,62.0
1254,40.0
1300,75.0
1233,43.0
1200,28.0
1510,105.0
950,65.0
1945,97.42
1008,45.0
1265,79.0
1255,77.68
2689,220.0
1200,46.17
1403,51.63
1535,85.0
1500,100.0
1475,120.0
1390,60.47
1278,53.76
1133,55.0
1560,145.0
2900,90.0
1170,51.99
1200,200.0
1697,94.79
1651,97.38
1560,188.0
1192,60.0
1078,65.0
800,105.0
1349,78.0
2300,210.0
1680,120.0
1314,63.0
1060,48.7
820,39.0
5000,400.0
2000,85.0
856,40.0
1621,130.0
1200,68.4
1484,52.5
600,60.0
14000,800.0
500,20.0
485,15.0
1050,42.0
1617,66.68
550,16.0
1384,62.28
1408,85.0
1150,49.0
1410,75.0
2150,100.0
2292,275.0
2006,297.0
1508,70.25
1040,50.0
1240,60.0
1535,78.0
1180,75.0
2200,68.0
1400,78.0
500,25.0
4800,525.0
1984,146.0
3000,250.0
1960,160.0
1035,45.0
2150,80.0
1700,115.0
3024,248.0
1586,100.0
2264,155.0
2325,120.0
1120,55.0
1440 - 1884,67.98
1128,59.0
1200,250.0
924,65.0
1600,52.0
1006,35.0
1200,55.0
1250,62.0
1200,130.0
957,56.0
1140,41.0
1050,67.0
1565,88.5
1190,57.0
2842,162.0
1558.67,65.0
630,39.0
1403,60.81
1542,85.0
2750,220.0
3596,290.0
1635,78.0
1239,53.0
1194,47.0
1596,105.0
1009,38.34
1726,81.99
1535,86.0
1300,58.5
3100,465.0
1800,80.0
665,50.75
4050,1200.0
1500,100.0
925,48.0
3356,251.0
1395,63.59
1415,55.0
1419,59.0
1121,78.0
1082,45.0
1100,47.0
1606,89.55
1650,88.0
4634,1015.0
1206,75.0
1495,64.0
840,195.0
710,16.0
1210,72.0
1523,53.4
1232,45.0
680,44.0
1355,83.87
1430,51.46
1275,43.85
1070,56.1
1200,85.0
2000,120.0
1200,40.0
1610,90.0
1140,43.0
1143,38.65
3467.86,249.0
1530,74.4
980,69.0
1485,65.0
1500,130.0
1280,75.0
1265,85.0
1132,67.0
1262,63.0
940,49.0
1515,88.0
1300,150.0
1840,69.0
890,45.0
1655,86.06
2060,149.0
1730,96.0
2195,127.0
1650,125.0
1200,71.0
1079,32.37
1085,36.0
5000,299.0
1075,51.5
1380,80.0
1450,65.0
1200,78.0
3200,350.0
1639,98.32
1200,54.0
1739,116.0
4346,500.0
935,32.72
510,25.25
1200,180.0
1178,47.0
1375,50.0
1065,33.0
1450,50.75
999,45.0
4400,475.0
1350,135.0
1100,40.0
1835,155.0
2090,95.1
1519,93.0
1267,56.0
1150,72.2
1146,70.0
1200,235.0
1550,65.0
850,18.5
2200,187.0
3329,330.0
785,55.0
2900,300.0
1610,74.0
921,40.0
850,95.0
2700,158.0
1700,110.0
1020,35.0
1090,52.0
3600,300.0
1027,44.0
1185,42.1
850,25.0
1197,84.0
3500,450.0
920,39.55
716Sq. Meter,296.0
1105,65.0
1850,100.0
1300,64.0
1595,76.0
3073,696.0
755,37.49
4050,140.0
1300,69.0
1215,50.0
900,46.0
1145,58.4
1093,65.0
1213,41.39
1654,100.0
1105,52.48
1611,66.0
1367,62.0
1010,51.0
750,75.0
1535,95.0
620,22.0
982,47.65
1700,150.0
1330,71.0
2500,135.0
1475,58.99
1410,65.0
440,16.5
1614,95.0
1363,68.0
650,28.0
1015,45.0
1156,46.0
1100,62.7
1455,46.0
930,45.0
1650,80.0
1200,90.0
700,150.0
2900,135.0
1890,127.0
2197,280.0
3522,380.0
1240,46.0
1440,98.0
650,38.0
764,32.0
900,90.0
1693,57.39
1445,65.0
900,45.0
1030,55.0
1381,52.48
1100,60.0
1575,66.39
1200,65.0
1200,43.2
1080,80.0
2280,200.0
1360,85.0
1865,124.0
1157,75.0
674,29.0
1405,78.0
1160,44.08
1600,172.0
1790,127.0
1128,65.65
1180,70.0
1450,85.0
340,10.0
2000,166.0
1050,53.5
1125,40.0
1246,68.0
1372,61.0
1330,56.0
2465,234.0
1300,55.0
1420,220.0
810,50.0
1065,35.0
700,27.0
547.34 - 827.31,42.72
1050,45.0
1250,39.5
865,42.0
1200,44.0
1756,100.0
750,150.0
628,24.0
1200,195.0
1207,63.0
1765,125.0
1130,32.64
1532,92.0
1650,110.0
1200,105.0
804.1,69.09
1200,75.0
1197,50.0
1200,66.0
1385,48.48
1010,148.0
2225,115.0
1180,48.0
1525,122.0
1100,31.5
1435,70.0
400,14.0
1200,50.0
1272,95.05
1205,39.0
980,40.0
1225,46.86
1541,72.0
1610,111.0
1694,125.0
600,75.0
950,39.0
1560,66.0
1201,27.0
1500,60.0
1785,75.0
1258,63.53
910,42.0
1297,112.0
1291,49.0
1070,42.0
1012,66.5
1260,57.6
1282,72.0
1843,92.15
2400,200.0
3356,105.0
2790,198.0
1330,86.98
1400,73.0
1192,71.0
1000,130.0
1297,103.0
580 - 650,17.835
1490,100.0
1373,72.0
1035,41.39
3750,210.0
1010,40.39
1195,42.0
1750,95.0
1052,50.0
1180,58.0
3680,440.0
2100,73.0
2863,140.0
1128,38.24
2700,450.0
1120,33.6
2424,90.0
1300,60.0
1090,32.69
2710,251.0
3040,180.0
1330,46.55
1427,80.63
1294,48.0
1580,75.0
400,200.0
1808,80.27
3516,540.0
1194,47.0
900,46.0
1310,50.0
900,46.0
3850,195.0
925,88.0
2400,150.0
1290,100.0
3770,110.0
1390,120.0
1200,72.0
845,33.0
1537,120.0
1135,68.0
1512,75.77
900,55.0
1230,54.0
1378,42.33
1277,61.3
1985,189.0
8000,500.0
1210,62.0
890,40.0
2550,360.0
1200,110.0
3198,200.0
1464,56.0
2483,215.0
1550,130.0
4111,310.0
975,37.5
2500,250.0
1690,125.0
1063,31.89
2572,390.0
2200,350.0
1600,80.0
1250,39.5
520,19.5
4000,212.0
1390,68.0
1185,40.0
1219,48.0
1564,92.0
3425 - 3435,228.5
1100,37.1
1300,60.0
1600,80.0
1600,75.0
1482,92.0
1000,66.0
1200,53.0
600,75.0
1200,58.0
600,60.0
2400,160.0
1469,89.0
551,30.0
1160,52.0
1205,78.5
1550,52.0
1745,125.0
1028,42.0
1700,180.0
1200,34.0
2700,270.0
1100,50.0
1200,72.0
1269.72,68.0
1266,59.0
1060,62.0
1168,70.0
1552,51.0
1804 - 2273,120.0
500,17.0
1080,43.2
2100,155.0
1300,65.0
920,33.0
817,120.0
1310,50.0
1650,75.0
1515,93.93
1157,53.8
2400,85.0
3000,160.0
2200,162.0
1243,58.0
1530,74.39
2070,162.0
1815,82.0
3900,300.0
1000,28.88
982,24.55
1232,89.0
1282,178.0
654,38.4
1181,55.0
1075,45.0
1200,245.0
1616,75.0
1800,44.5
1200,135.0
1306,54.65
1626,89.0
2700,214.0
1585,88.0
1370,56.17
3250,900.0
1495,90.0
2000,210.0
2400,300.0
1375,57.0
3630 - 3800,224.5
1400,48.0
1100,135.0
660 - 670,28.585
1200,215.0
1150,46.0
1080,54.0
1645,100.0
1760,176.0
595,42.0
1200,125.0
4000 - 5249,314.5
1410,67.0
1090,31.48
540,30.0
1300,60.0
1890,85.0
1254,53.0
2800,125.0
1275,120.0
1245,68.48
1170,86.0
1193,86.0
850,25.4
1678,70.0
1600,75.0
1750,84.0
1125,62.0
2200,235.0
1500Sq. Meter,95.0
2800,200.0
1200,120.0
1000,50.0
2780,480.0
1320,38.13
8000,230.0
2422,160.0
1100,50.0
882,30.0
845,37.0
883,39.0
620 - 933,48.145
1595,88.0
1280,85.0
1700,550.0
920,35.0
1300,57.0
1450,230.0
1757,132.0
600,16.5
2400,142.0
1240,44.0
750,90.0
1330,93.36
1062,42.47
1078,45.0
1460,72.0
1200,68.5
1200,48.0
912,39.0
142.61Sq. Meter,115.0
2400,625.0
2028,162.0
980,45.47
1000,40.0
1050,62.0
2611,239.0
1875,150.0
1065,42.6
1800,180.0
1163,98.86
1098,72.0
1725,100.0
4000,330.0
1128,75.0
1320,200.0
1705,74.16
1418,95.0
1500,160.0
1100,50.0
1464,56.0
812,55.0
2695 - 2940,204.0
1280,40.0
1420,136.0
1200,170.0
727,66.0
1200,150.0
2774,207.0
2000,85.0
1722,95.0
2800,330.0
2000 - 5634,124.0
1650,175.0
840,27.0
914,47.0
1482,83.73
1724,127.0
1670,91.86
1184,53.0
1200,55.0
1200,65.0
927,55.0
1242,39.7
1220,35.23
1360,75.0
2800,240.0
1180,72.0
1697,108.0
550,26.0
1225,57.0
1690,55.0
1660,475.0
1488,57.0
1250,80.0
1050,44.0
1027,44.0
1699,81.94
1205,58.0
712,67.5
950,39.0
1200,70.0
1476,120.0
1070,55.0
2160,172.0
1296,75.0
1800,128.0
1570,64.5
1300,110.0
1550,65.0
770,40.0
1870,110.0
1650,160.0
1429,86.0
1167,39.98
1035,41.73
1188,38.0
1200,285.0
1574Sq. Yards,76.0
884,36.0
1194,46.0
1026,60.87
1400,200.0
1115,50.0
1200,125.0
2690,191.0
975,58.0
675,72.5
1900,170.0
600,100.0
1101,65.5
1700,135.0
3606,312.0
1258,115.0
1560,92.0
3630,195.0
2000,250.0
2790,198.0
1494,94.55
1482,87.0
800,50.0
1185,47.39
1100,71.5
1300,120.0
1225,150.0
1758,65.0
1145,55.0
1180,50.0
1260,58.0
3450 - 3472,173.0
1190,55.0
1691,119.0
3675,367.0
1305,95.45
2337,292.0
1200,150.0
1206,217.0
1350,130.0
1140,50.66
1250,65.0
600,60.0
1225,48.0
800,28.0
1020,58.0
2100,50.0
1350,80.0
925,40.0
1800,220.0
2000,100.0
1510,75.0
5800,1200.0
1614,110.0
682,130.0
1200,95.0
900,55.0
1632,145.0
1041,65.5
5080,450.0
3012,250.0
1530,74.5
1450,135.0
1200,75.0
1200,130.0
1508,110.0
600,106.0
1188,73.0
2690,199.0
1174,76.0
1350,58.99
1870,185.0
1072,25.0
52272,140.0
726,31.0
1345,106.0
1200,45.0
980,37.0
1050,77.0
993,39.71
1300,52.0
1743,85.0
1204,125.0
1200,67.0
1480,90.0
950,32.5
640,55.0
972,44.0
1840,98.0
1128,64.0
680,42.0
2400,95.0
1045,42.0
955,53.55
1360,54.39
1150,63.0
3450,294.0
1115,56.87
920,46.0
1030,41.0
1564,101.0
1045,45.0
1200,83.0
1277,55.0
2479.13,215.0
1846,140.0
1100,106.0
1690,75.0
1200,70.0
3042,131.0
1640,223.0
1068,40.05
1135,58.0
1925,120.0
1615,60.0
650,26.0
1200,120.0
1150,42.0
930,135.0
1410,45.12
600,100.0
2000,207.0
1354,90.0
1050,110.0
600,28.0
1320,110.0
1600,88.0
3500,225.0
1000,36.0
1130,38.0
1238,67.0
2204,305.0
1200,110.0
1364,46.38
900,45.0
1745,104.0
1200,53.33
1020,42.83
1650,118.0
1550,70.0
1440,60.0
1329,45.95
916,42.0
688,50.0
1358,50.0
1331,107.0
686,62.5
1050,50.0
2106,126.0
1718,90.2
1530,57.0
1206,56.0
1075,52.0
1200,95.0
1936,54.21
2172.65,120.0
1100,75.0
1260,185.0
990,120.0
800,80.0
1117,29.99
1685,110.0
740,37.0
1080,250.0
1500,93.0
1800,115.0
1700,130.0
850,37.93
1891,139.0
1400,80.0
1172,82.0
1400,40.43
896,43.75
1180,65.0
2460,350.0
850,33.0
530,18.0
1550,110.0
1699,97.0
2025,109.0
500,14.0
500,20.0
